date_mesure,geocode_region,libelle_region,carburant,valeur
2024-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,Essence - hybride NR,18730.0
2024-01-01T00:00:00.000,06,Mayotte,Hybride rechargeable,11.0
2023-01-01T00:00:00.000,11,Île-de-France,Diesel - hybride NR,3925.0
2021-01-01T00:00:00.000,75,Nouvelle-Aquitaine,Essence - thermique,60834.0
2021-01-01T00:00:00.000,02,Martinique,Electrique et hydrogène,479.0
2022-01-01T00:00:00.000,94,Corse,Electrique et hydrogène,2390.0
2023-01-01T00:00:00.000,01,Guadeloupe,Hybride rechargeable,363.0
2022-01-01T00:00:00.000,94,Corse,Essence - thermique,8657.0
2020-01-01T00:00:00.000,75,Nouvelle-Aquitaine,Hybride rechargeable,5765.0
2019-01-01T00:00:00.000,93,Provence-Alpes-Côte d'Azur,Diesel - hybride NR,938.0
2022-01-01T00:00:00.000,02,Martinique,Essence - thermique,9398.0
2022-01-01T00:00:00.000,84,Auvergne-Rhône-Alpes,Essence - hybride NR,33210.0
2023-01-01T00:00:00.000,24,Centre-Val de Loire,Essence - hybride NR,12345.0
2024-01-01T00:00:00.000,06,Mayotte,Essence - thermique,915.0
2023-01-01T00:00:00.000,24,Centre-Val de Loire,Diesel - thermique,5948.0
2019-01-01T00:00:00.000,75,Nouvelle-Aquitaine,Hybride rechargeable,1216.0
2019-01-01T00:00:00.000,44,Grand Est,Gaz et ND,179.0
2023-01-01T00:00:00.000,75,Nouvelle-Aquitaine,Hybride rechargeable,11384.0
2020-01-01T00:00:00.000,44,Grand Est,Hybride rechargeable,5770.0
2020-01-01T00:00:00.000,28,Normandie,Electrique et hydrogène,6111.0
2024-01-01T00:00:00.000,52,Pays de la Loire,Gaz et ND,2788.0
2020-01-01T00:00:00.000,11,Île-de-France,Hybride rechargeable,20024.0
2019-01-01T00:00:00.000,52,Pays de la Loire,Diesel - thermique,34339.0
2023-01-01T00:00:00.000,04,La Réunion,Essence - hybride NR,6266.0
2024-01-01T00:00:00.000,44,Grand Est,Hybride rechargeable,9899.0
2023-01-01T00:00:00.000,28,Normandie,Hybride rechargeable,7922.0
2022-01-01T00:00:00.000,93,Provence-Alpes-Côte d'Azur,Electrique et hydrogène,21551.0
2019-01-01T00:00:00.000,01,Guadeloupe,Hybride rechargeable,53.0
2024-01-01T00:00:00.000,44,Grand Est,Essence - thermique,35051.0
2023-01-01T00:00:00.000,06,Mayotte,Gaz et ND,4.0
2021-01-01T00:00:00.000,53,Bretagne,Hybride rechargeable,4471.0
2022-01-01T00:00:00.000,06,Mayotte,Diesel - thermique,318.0
2021-01-01T00:00:00.000,32,Hauts-de-France,Electrique et hydrogène,13898.0
2020-01-01T00:00:00.000,04,La Réunion,Essence - thermique,12881.0
2024-01-01T00:00:00.000,04,La Réunion,Electrique et hydrogène,2832.0
2021-01-01T00:00:00.000,06,Mayotte,Essence - thermique,1034.0
2020-01-01T00:00:00.000,03,Guyane,Gaz et ND,0.0
2023-01-01T00:00:00.000,94,Corse,Diesel - thermique,2942.0
2024-01-01T00:00:00.000,93,Provence-Alpes-Côte d'Azur,Diesel - hybride NR,892.0
2021-01-01T00:00:00.000,02,Martinique,Diesel - thermique,1738.0
2024-01-01T00:00:00.000,06,Mayotte,Gaz et ND,8.0
2024-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,Hybride rechargeable,4555.0
2021-01-01T00:00:00.000,28,Normandie,Essence - thermique,41381.0
2020-01-01T00:00:00.000,28,Normandie,Diesel - thermique,30740.0
2024-01-01T00:00:00.000,75,Nouvelle-Aquitaine,Hybride rechargeable,9520.0
2022-01-01T00:00:00.000,44,Grand Est,Hybride rechargeable,8782.0
2022-01-01T00:00:00.000,32,Hauts-de-France,Hybride rechargeable,12856.0
2024-01-01T00:00:00.000,28,Normandie,Electrique et hydrogène,13858.0
2022-01-01T00:00:00.000,75,Nouvelle-Aquitaine,Diesel - thermique,20544.0
2024-01-01T00:00:00.000,28,Normandie,Hybride rechargeable,6256.0
2022-01-01T00:00:00.000,01,Guadeloupe,Gaz et ND,0.0
2022-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,Hybride rechargeable,4051.0
2023-01-01T00:00:00.000,53,Bretagne,Gaz et ND,2969.0
2020-01-01T00:00:00.000,28,Normandie,Essence - thermique,45105.0
2019-01-01T00:00:00.000,76,Occitanie,Essence - thermique,99706.0
2024-01-01T00:00:00.000,53,Bretagne,Essence - thermique,19766.0
2019-01-01T00:00:00.000,01,Guadeloupe,Essence - thermique,12216.0
2022-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,Essence - thermique,22103.0
2022-01-01T00:00:00.000,32,Hauts-de-France,Electrique et hydrogène,18328.0
2021-01-01T00:00:00.000,06,Mayotte,Diesel - hybride NR,66.0
2022-01-01T00:00:00.000,24,Centre-Val de Loire,Hybride rechargeable,3098.0
2022-01-01T00:00:00.000,93,Provence-Alpes-Côte d'Azur,Diesel - hybride NR,1447.0
2021-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,Gaz et ND,1527.0
2022-01-01T00:00:00.000,84,Auvergne-Rhône-Alpes,Gaz et ND,5046.0
2022-01-01T00:00:00.000,28,Normandie,Essence - thermique,43508.0
2023-01-01T00:00:00.000,94,Corse,Essence - hybride NR,3830.0
2023-01-01T00:00:00.000,03,Guyane,Essence - hybride NR,951.0
2019-01-01T00:00:00.000,53,Bretagne,Electrique et hydrogène,1759.0
2021-01-01T00:00:00.000,24,Centre-Val de Loire,Hybride rechargeable,3760.0
2023-01-01T00:00:00.000,28,Normandie,Diesel - thermique,9085.0
2021-01-01T00:00:00.000,53,Bretagne,Diesel - hybride NR,1238.0
2024-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,Gaz et ND,2039.0
2022-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,Diesel - hybride NR,858.0
